T, sc, ss, lc, ls, 
0,0.25,0.25,0.25,0.25, 
1,0.47489077,0.08775309,0.028697703,0.43265843,
2,0.7867853,0.16929895,0.008332001,0.040583767,
3,0.8037057,0.17882675,0.001326313,0.016141227,
4,0.8055124,0.18884583,5.09E-04,0.005132566,
5,0.8072551,0.19029087,1.86E-04,0.002267565,
6,0.8082226,0.19088161,6.80E-05,8.28E-04,
7,0.80836713,0.19135836,2.47E-05,2.50E-04,
8,0.80926055,0.19063967,8.99E-06,9.08E-05,
9,0.8086834,0.19128013,3.28E-06,3.31E-05,
10,0.8090881,0.19089608,1.19E-06,1.45E-05,
11,0.8087319,0.19126329,4.34E-07,4.38E-06,
12,0.8088309,0.19116731,1.58E-07,1.60E-06,
